Id,PredictedRevenue
1976,2271459
852,7717511
1033,12966625
81,5205274
1124,58673174
1034,11343861
1028,6540139
2949,62324024
987,10181087
645,6053328
873,248607
2146,9933764
1901,188794032
2783,73077389
2770,14259710
1590,308337
1522,134399687
2022,2444022
941,5018398
1564,39928316
1592,36337677
1730,13673660
2093,1508241
2753,16497279
2025,54572137
864,92722
979,52731737
132,2013562
2161,1681087
1329,432062
338,38342
1162,1486089
2415,19397234
1159,270694652
1562,12154766
2638,188056
1957,323253
2483,89906306
2935,46783288
1990,3766424
895,51136410
2065,47881375
561,51197
261,659513
1148,690662
1173,548385
2234,84444415
1807,10559111
1342,25266050
2447,8804213
136,229514
111,79114369
2743,40972778
2512,8014274
658,15442208
831,5505647
2318,63117463
1768,952243
196,44048
2617,32261613
498,31800815
587,1250499
2166,29958494
1408,128403445
445,2552536
482,9302654
872,1358108
2395,98106255
1398,66396788
2016,53874382
2363,82982
2875,120535
2816,52176121
2123,387385
1536,1292315
1588,36386127
647,45072973
2316,3305681
930,15132813
2452,463949
2216,49046669
470,17038103
33,158727235
1477,24537547
226,10126610
1017,75576555
2299,496559
366,1092471
2451,9728661
2883,6807223
252,58138423
734,16250044
1154,4238340
2938,32809421
174,32101526
1414,1076136
1016,6494874
162,1569367
1122,15073439
290,41682100
347,74462276
2790,1182081
1188,1319410
1889,5232853
2485,5337474
2454,16545744
1573,20855808
925,89702
805,68120047
551,21243771
126,43812373
671,10954680
1907,210091
1560,24160219
2382,1160537
1689,98677495
1119,67746430
18,588110
682,66505083
720,283660
2271,9253949
1851,4755836
1780,50606323
2096,65652
2666,18332438
2208,104093979
384,2454501
1457,2710773
2000,72694730
430,116891923
911,69918
727,497940
940,367403
1240,1223673
1710,70343347
1644,327544209
1493,60848226
2457,4035864
59,368732
660,10902344
1332,372215
1206,42717874
3,22357862
2592,72060761
2313,2892236
2619,28569945
1692,13691898
2615,60174134
2246,91770137
2715,6292341
332,53806932
1178,104562014
2785,25554930
2772,5786799
753,106810
732,12672962
1845,2616494
435,14146963
355,26461580
1069,520562
69,6906297
1390,69378019
1315,11963769
845,4527131
728,54123026
325,12739664
1625,256319801
1495,7378477
1491,301313
140,160547802
1144,8400488
1737,2660437
2393,4587403
620,7227441
419,12669275
179,93038234
2810,75400735
2924,15135926
2833,14764910
2468,35373269
890,92937
1444,6988778
1750,1225744
687,99303950
1722,65908161
2117,44007950
80,1434679
961,1256112
1945,21318360
1575,99569
2475,1042223
567,11624225
404,99905
2097,63701
1389,30230
1652,5122379
436,3759490
1,51748809
387,22621
1183,286887796
2459,263268
1121,37736584
1020,1660330
2955,92175096
223,1560901
422,42169616
778,331575204
212,83483097
787,66187823
1434,5839093
2762,262001
1261,5159626
2720,125391252
2839,8106516
2231,1563391
356,101211
2115,17880925
2602,15739200
260,3205
1511,99866858
1112,23099266
1085,22676
869,102896042
2332,4016110
1302,358872
2293,51654
1733,4127795
798,1379254
1404,27434382
410,13368669
1356,116039241
303,976250
1225,222688216
1638,38336175
2124,7402564
148,64269154
1131,22106989
1045,1497988
2478,7847032
1441,4963254
374,18826889
1366,193734
2904,20846951
2741,135020554
1879,1510925
1691,879215
1758,194455
2112,259370091
1651,10221368
492,24399167
2672,2250797
1195,1464734
725,177880222
905,242629357
888,33814284
2030,57456832
363,1836326
1924,48034
1518,13979022
2523,46220768
2099,1232482
2897,502174
662,1790617
1809,676992
2548,158713367
176,22365970
2345,30592319
2103,12037896
413,40552077
2854,5089909
1363,48360375
1417,7802764
2245,26419784
339,86366827
972,100997747
1877,2708756
1832,5994570
2632,173119390
2376,76734842
75,926725
1059,18761345
2165,131232703
1761,101237
2411,22969853
1321,308417430
375,2639262
2397,141211288
1966,22288106
428,81910
1612,106874476
1774,844241
943,1002004
49,1663694
1742,5950097
1127,818467334
659,6805099
1675,29902031
1940,11465137
1490,2300829
1854,4205399
2629,8525069
1084,21256818
1111,91312
1981,6941217
2777,41132208
683,18806528
232,553147
2200,36021981
1565,23332990
1239,3002630
2491,5291769
2014,50943
1160,49654701
1303,19565046
966,86689999
2530,8000987
2651,16034762
458,25335
637,1795027
2926,15615028
1954,18953306
2941,10149984
931,90482290
2778,62621142
1860,12210927
1557,11252741
624,138727293
488,1643412
656,33578030
51,347230
558,5724586
219,2748983
326,138721883
1087,52914
2766,4155563
1080,2718177
1349,8507635
534,81176485
1199,5811268
738,1967484
1211,57855309
309,19445432
2279,109861451
821,4372572
92,990232
1677,732537
1753,68404031
1376,130596818
1961,58890677
350,435831
1167,4239263
120,26791823
1822,457407
1364,1430053
1684,128912
1037,3299373
292,25747219
1870,42572224
782,7933364
271,48288614
389,6890706
438,96795708
520,43672876
1004,4146340
1378,104216799
1503,23475791
692,16733536
2290,11538459
857,15484886
1411,20068637
1749,391043
2667,40450942
1604,61822419
2825,24504912
2906,3776834
2305,52306804
2324,189550
983,1337737
1439,23704023
2223,23136247
63,8841538
2349,3532988
1654,18336606
571,61487770
240,27253117
731,1774836
328,64605320
1461,119612101
2549,14750336
862,25184982
2178,36794804
1203,124731
2885,2242227
2398,79123565
2443,42352445
1192,28524452
296,622904
2693,64415893
2671,142600
1756,3711929
945,15806746
1097,3322692
740,153867690
1346,57707538
2463,28939794
874,40433001
2056,36573981
1686,94761062
613,13691600
2727,37739182
2968,16268511
362,1209534
1257,64528656
792,128152778
2229,14387875
953,973629
1306,16304099
2424,267724
277,2559541
402,3054499
746,14252032
715,5921377
2661,30227462
2296,13495
2759,677690
2681,347500
565,1394614
96,8028
2856,1088228
810,205014825
447,28914712
1871,2493692
2429,15661577
2708,6423762
553,62783078
1778,989030
1035,1764314
1642,7495870
1659,27921
1989,18518957
822,5553003
2828,1186252
1235,69049493
2182,12018130
1656,67980069
1798,20354001
1524,22266541
2072,37107634
2520,437418
1653,2356943
2917,41172483
1534,1569713
2111,2039324
473,28178932
2437,3349063
53,763971
2085,20490782
8,47354
2153,6478387
2132,62505024
1909,116366972
2994,200637814
1767,325338
1139,10787957
2471,5059139
922,17972419
258,178464
621,66942916
127,2806901
1266,241734
1011,67765072
2736,2560429
1893,18860460
2699,1126558
847,35782808
2018,12444651
1344,28795419
570,17752828
2545,82905529
608,56857
747,1122291
698,16303759
1106,493827
291,30126896
1790,30679725
1741,6804181
1886,7545864
957,378855
1555,2746199
229,23698189
379,35816462
896,7824844
1512,105495312
605,12225820
601,58233304
1362,1335561
2446,60122047
1410,675155
2462,1114218
2272,8417999
477,5129751
1268,2234408
125,24664693
2422,2311570
1448,4257218
2307,4552727
175,13998847
566,1617235
192,61526965
367,12724966
763,5870112
1515,21064655
1008,45018
1620,81625688
147,25296577
1930,41463852
2789,500754
1847,1162125
2971,54221038
1387,56898654
1050,158905363
1668,6479666
893,125569
1153,31363888
703,153887421
866,24691866
1274,25678928
1093,20372
2095,404315
1821,81473
774,41855
2936,122633293
2204,614522
439,26381011
1671,19841866
491,2101954
2526,63615183
2122,106694605
1157,112552
2701,38194862
134,144538231
751,52800499
1941,25845094
1155,41913288
719,5452932
1900,351272
1748,3745478
182,5234614
1474,38360772
1039,312959734
342,79736305
1664,47914449
2389,42538942
1335,159562615
1496,18448712
462,44380427
2023,66769658
1801,2492
44,4956476
1925,176940567
735,496738408
1896,7585484
1136,31849713
981,110651975
2020,42711241
1317,6325049
2609,12046948
1521,5807495
2080,95358
1081,51530473
1973,223108921
2910,50520393
400,17063360
484,7800611
2695,22633414
2653,17882131
2782,50120
675,256340299
2882,66942475
1024,9038387
2982,89613
2723,6100485
2381,18037709
17,34170846
1825,6407909
1791,4547275
1403,802751
1200,204227
170,4163209
2775,17927830
2855,2910355
1670,1171585
1327,7662163
1865,5137126
2827,3381151
71,38133670
2576,169429
2524,5095619
1322,293546805
2148,46075666
2238,1566164
1776,11324357
1554,202678
554,13518188
2431,16990425
2669,4030078
1384,109854897
2891,116492475
538,104017508
1795,3601266
1866,47166474
2362,20945066
2176,40584818
440,566487
2943,7424760
644,5859987
894,32248835
522,354005
2418,27024210
627,12065742
1323,859363
248,15637811
631,39163678
2427,328873
1307,36308666
1283,21834398
305,5723942
139,1221354
2202,2666893
2627,94862773
617,55218
